Column1,Column2,Column3
2.2317014,0.07819712,2.1535041
2.2509198,0.078778714,2.172141
2.249469,0.07747815,2.1719909
2.2309837,0.076598585,2.154385
2.2379267,0.07893686,2.15899
2.255618,0.076272435,2.1793456
2.2362535,0.07653683,2.1597166
2.2179723,0.0745464,2.143426
2.2148528,0.075857565,2.1389952
2.2531006,0.07585485,2.1772459
2.2324934,0.0746169,2.1578765
2.2146838,0.07454854,2.1401353
2.2296357,0.07603477,2.153601
2.1774008,0.07342357,2.1039772
2.249407,0.073151805,2.1762552
2.2442787,0.07501711,2.1692615
2.2110896,0.07164223,2.1394475
2.204689,0.07258605,2.132103
2.184326,0.07346411,2.1108618
2.2280974,0.07329756,2.1548
2.202753,0.07425975,2.1284933
2.1946287,0.073291406,2.1213374
2.2493665,0.07287437,2.1764922
2.1970873,0.07224284,2.1248446
2.1454656,0.07101175,2.0744538
2.1380768,0.070402615,2.0676742
2.1644833,0.07105166,2.0934317
2.2131882,0.06886376,2.1443243
2.1823764,0.0710792,2.1112971
2.1722898,0.07276053,2.0995293
2.134169,0.070448935,2.0637202
2.1752825,0.06966413,2.1056182
2.157616,0.06880713,2.0888088
2.1869104,0.06982657,2.1170838
2.1687398,0.06773806,2.1010017
2.1801012,0.06790951,2.1121917
2.109448,0.06705724,2.0423908
2.1456387,0.06903974,2.076599
2.1475596,0.068518296,2.0790412
2.1516302,0.068756856,2.0828733
2.1619515,0.06849674,2.0934548
2.139297,0.06880485,2.0704923
2.1596847,0.068498924,2.0911858
2.15542,0.06651568,2.0889044
2.1528182,0.06630757,2.0865107
2.1423655,0.06796,2.0744054
2.179412,0.06683705,2.1125748
2.1602087,0.06764643,2.0925622
2.1467533,0.067635655,2.0791178
2.1367803,0.06713444,2.069646
2.1243138,0.068199754,2.0561142
2.150814,0.06816477,2.0826492
2.1425593,0.06716636,2.075393
2.1021945,0.06651956,2.035675
2.1617122,0.0668083,2.094904
2.1170344,0.064999476,2.0520349
2.1497505,0.067501724,2.0822487
2.114258,0.06667178,2.0475862
2.1757333,0.06705805,2.1086752
2.093065,0.06606375,2.0270014
2.0850544,0.06619871,2.0188556
2.1126094,0.067439474,2.0451698
2.0950434,0.0651023,2.029941
2.132066,0.066568725,2.0654974
2.0936701,0.064555004,2.0291152
2.1287444,0.06566595,2.0630784
2.1276774,0.06585518,2.0618222
2.0926635,0.066551425,2.026112
2.1059775,0.06620276,2.039775
2.1037607,0.0662782,2.0374825
2.1300936,0.06721741,2.0628762
2.050935,0.06612025,1.9848149
2.0842795,0.06498607,2.0192935
2.0848794,0.06504552,2.0198338
2.0663488,0.06599475,2.000354
2.08247,0.06419067,2.0182793
2.0515685,0.06566653,1.985902
